N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
182,이노션,"60,600",200,-0.33%,500,"12,120","20,000",29.75,"41,199",18.87,9.88,
183,한국콜마,"52,800","1,100",+2.13%,500,"12,081","22,881",28.10,"136,028",37.99,6.39,
184,금호타이어,"4,160",115,+2.84%,"5,000","11,950","287,260",5.35,"639,805",-11.92,-3.30,
185,KODEX 인버스,"3,890",5,+0.13%,0,"11,915","306,300",2.59,"46,556,857",N/A,N/A,
186,DGB금융지주,"6,980",120,+1.75%,"5,000","11,806","169,146",47.10,"477,311",3.56,7.31,
187,다우기술,"26,150",150,-0.57%,500,"11,733","44,867",22.42,"147,865",4.20,14.62,
188,롯데칠성,"130,500","4,500",+3.57%,500,"11,713","8,975",10.41,"32,215",-13.38,-11.68,
189,더블유게임즈,"62,500",500,+0.81%,500,"11,484","18,375",14.02,"40,854",10.72,18.93,
190,JB금융지주,"5,770",60,+1.05%,"5,000","11,366","196,983",39.64,"308,008",3.29,10.36,
191,롯데관광개발,"16,400",200,+1.23%,500,"11,361","69,276",4.44,"233,198",-24.08,-4.77,
192,태광산업,"1,013,000","14,000",+1.40%,"5,000","11,279","1,113",7.74,897,10.87,4.34,
193,아시아나항공,"15,050",350,+2.38%,"5,000","11,199","74,412",20.07,"583,212",-1.30,-90.67,
194,코스맥스,"109,500","3,000",+2.82%,500,"11,004","10,050",23.99,"98,622",27.10,10.45,
195,후성,"11,850",100,-0.84%,500,"10,974","92,607",4.68,"445,218",-215.45,3.85,
196,KG동부제철,"10,900",0,0.00%,"5,000","10,901","100,009",0.12,"63,487",13.23,-7.44,
197,티와이홀딩스,"26,950",750,-2.71%,500,"10,826","40,172",6.94,"168,753",N/A,N/A,
198,솔루엠,"25,200",350,+1.41%,500,"10,712","42,508",0.22,"3,626,979",24.88,86.98,
199,대한전선,"1,240",10,+0.81%,500,"10,620","856,473",1.93,"7,047,544",-68.89,-3.99,
200,KODEX 코스닥150 레버리지,"15,730",170,-1.07%,0,"10,586","67,300",3.26,"4,151,980",N/A,N/A,
